iter	Passed	Remaining
0	1	185
1	3	151
2	4	144
3	5	128
4	6	121
5	7	115
6	8	110
7	9	106
8	10	102
9	10	98
10	11	95
11	12	92
12	13	89
13	14	86
14	14	83
15	15	81
16	16	79
17	16	77
18	17	75
19	18	72
20	18	71
21	19	69
22	21	70
23	22	70
24	23	69
25	23	67
26	24	65
27	24	63
28	25	62
29	26	60
30	26	59
31	27	57
32	27	56
33	28	54
34	28	53
35	29	52
36	29	51
37	30	49
38	31	48
39	31	47
40	32	46
41	32	44
42	33	44
43	33	43
44	34	42
45	35	41
46	35	40
47	36	39
48	36	38
49	37	37
50	37	36
51	38	35
52	39	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	65	0
99	66	0
